FUENTE Seccion Especie LATITUD LONGITUD Elevacion Temperatura  Precipitacion
ANDRES Quercus glaucoides 17.28190000000 -96.54080000000 1976 157 838
ANDRES Quercus glaucoides 17.52080000000 -96.59360000000 1363 188 1124
ANDRES Quercus glaucoides 17.58690000000 -96.58110000000 2180 158 1322
ANDRES Quercus glaucoides 17.21830000000 -96.57330000000 2210 149 954
ANDRES Quercus glaucoides 16.29080000000 -97.11360000000 1264 206 1284
ANDRES Quercus glaucoides 17.33420000000 -97.79690000000 2132 169 1069
ANDRES Quercus glaucoides 16.23830000000 -96.86220000000 1615 194 909
ANDRES Quercus glaucoides 16.31670000000 -96.30250000000 1801 173 838
ANDRES Quercus glaucoides 16.30250000000 -96.28530000000 2171 150 1314
ANDRES Quercus glaucoides 16.30170000000 -96.30030000000 1818 169 966
ANDRES Quercus glaucoides 16.30250000000 -96.28560000000 2171 150 1314
ANDRES Quercus glaucoides 16.17060000000 -96.64360000000 1835 189 885
ANDRES Quercus glaucoides 16.23330000000 -96.62690000000 1814 183 893
ANDRES Quercus glaucoides 16.23610000000 -96.52810000000 2201 157 1583
ANDRES Quercus glaucoides 16.24810000000 -96.53420000000 2188 153 1519
ANDRES Quercus glaucoides 17.03690000000 -95.98890000000 2166 147 1699
ANDRES Quercus glaucoides 17.71670000000 -97.12310000000 2201 150 708
ANDRES Quercus glaucoides 17.28310000000 -97.11470000000 2001 173 888
ANDRES Quercus glaucoides 16.68000000000 -96.56000000000 1782 184 610
ANDRES Quercus glaucoides 17.67640000000 -96.55710000000 2098 148 1588
ANDRES Quercus glaucoides 17.46160000000 -98.04490000000 2201 168 1076
ANDRES Quercus glaucoides 17.47330000000 -98.03280000000 2001 174 1030
ANDRES Quercus glaucoides 17.74690000000 -98.27970000000 1801 193 891
ANDRES Quercus glaucoides 17.61690000000 -98.18860000000 1429 212 907
ANDRES Quercus glaucoides 17.78720000000 -98.31560000000 1687 200 897
ANDRES Quercus glaucoides 16.59250000000 -96.89360000000 1751 202 815
ANDRES Quercus glaucoides 16.55560000000 -95.70390000000 1256 184 1181
ANDRES Quercus glaucoides 16.54830000000 -95.98710000000 1088 208 864
ANDRES Quercus glaucoides 17.84110000000 -97.18010000000 1802 170 706
ANDRES Quercus glaucoides 17.86000000000 -97.13220000000 1801 163 726
ANDRES Quercus glaucoides 17.96920000000 -96.96190000000 1514 197 1305
ANDRES Quercus glaucoides 18.18680000000 -97.05130000000 0 0 0
ANDRES Quercus glaucoides 18.18860000000 -97.04560000000 0 0 0
ANDRES Quercus glaucoides 17.61470000000 -97.55140000000 2201 155 772
ANDRES Quercus glaucoides 17.54950000000 -97.67210000000 2001 168 810
ANDRES Quercus glaucoides 17.66320000000 -97.62380000000 2201 158 760
ANDRES Quercus glaucoides 17.70640000000 -97.59190000000 2001 167 697
ANDRES Quercus glaucoides 17.01960000000 -96.65680000000 1975 162 782
ANDRES Quercus glaucoides 16.79020000000 -96.43960000000 1649 177 586
ANDRES Quercus glaucoides 16.88110000000 -96.26690000000 1627 179 744
ANDRES Quercus glaucoides 16.97030000000 -96.40000000000 2193 156 909
ANDRES Quercus glaucoides 16.95020000000 -96.39300000000 1906 166 749
ANDRES Quercus glaucoides 16.94980000000 -96.39210000000 1906 166 749
ANDRES Quercus glaucoides 16.73280000000 -96.02110000000 1705 163 1115
ANDRES Quercus glaucoides 16.74310000000 -96.01470000000 1388 181 1068
ANDRES Quercus glaucoides 16.90460000000 -96.00420000000 1279 176 1485
ANDRES Quercus glaucoides 16.72210000000 -96.99780000000 2570 153 1057
ANDRES Quercus glaucoides 16.75690000000 -96.34390000000 1607 197 574
ANDRES Quercus glaucoides 16.74540000000 -96.31550000000 1634 188 587
ANDRES Quercus glaucoides 16.63750000000 -96.30440000000 1072 219 565
ANDRES Quercus glaucoides 16.72360000000 -96.23310000000 1587 174 705
ANDRES Quercus glaucoides 16.63030000000 -96.05530000000 958 223 738
ANDRES Quercus glaucoides 16.63960000000 -96.41390000000 1970 160 909
ANDRES Quercus glaucoides 16.64670000000 -96.39750000000 1893 174 636
ANDRES Quercus glaucoides 16.63130000000 -96.36860000000 1426 184 527
ANDRES Quercus glaucoides 16.83530000000 -96.36860000000 1946 164 763
ANDRES Quercus glaucoides 16.83000000000 -96.36220000000 2001 159 858
ANDRES Quercus glaucoides 16.76670000000 -96.34740000000 1622 181 577
ANDRES Quercus glaucoides 17.13060000000 -96.21860000000 1801 163 1287
ANDRES Quercus glaucoides 17.12500000000 -96.21250000000 1720 163 1287
ANDRES Quercus glaucoides 17.02610000000 -96.46970000000 2178 158 846
ANDRES Quercus glaucoides 17.24490000000 -96.20720000000 1202 190 1325
ANDRES Quercus glaucoides 17.25720000000 -96.25480000000 1405 171 1413
ANDRES Quercus glaucoides 16.62830000000 -96.05280000000 859 236 634
ANDRES Quercus glaucoides 16.54840000000 -95.99210000000 1088 208 864
ANDRES Quercus glaucoides 16.55140000000 -95.98580000000 1009 210 861
ANDRES Quercus glaucoides 16.55330000000 -95.95460000000 1199 197 918
ANDRES Quercus glaucoides 16.37790000000 -96.00990000000 1378 195 876
ANDRES Quercus glaucoides 16.45220000000 -95.97330000000 1203 208 889
ANDRES Quercus glaucoides 16.49280000000 -96.09190000000 812 231 734
ANDRES Quercus glaucoides 16.49280000000 -96.09080000000 809 231 734
ANDRES Quercus glaucoides 16.55310000000 -96.06920000000 996 228 713
ANDRES Quercus glaucoides 16.53860000000 -95.98310000000 1201 203 880
ANDRES Quercus glaucoides 16.31660000000 -95.98240000000 1311 197 953
ANDRES Quercus glaucoides 16.55250000000 -95.81690000000 2006 164 1203
ANDRES Quercus glaucoides 16.94440000000 -95.93330000000 1602 172 1878
ANDRES Quercus glaucoides 16.60980000000 -95.92120000000 801 227 767
ANDRES Quercus glaucoides 16.65760000000 -95.87830000000 1001 214 987
ANDRES Quercus glaucoides 16.66390000000 -95.79140000000 1620 175 1285
